Ref,Status,Location,Description,Created,Target,Type,To Package,Status Changed,Association,OverDue,Images,Comments,Documents,Priority,Cause,Project,Report Status,Task Group,Resolution_Days,OverDue_Flag
T84104.641,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good safe working practice ,2019-12-05,,Safety Notice (Green) - Good Observation,Main Contractor,2019-12-05,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T84104.640,Closed,JPC Project Management>EHS Management>01 Inspections,Poor housekeeping ,2019-12-05,,Safety Notice (Amber) - General Issue,Concrete - Formwork,2019-12-16,FormAnswer,False,True,False,False,System Failure,JPC - Safety - Access,1328,Closed,Safety,11,0
T84104.639,Closed,JPC Project Management>EHS Management>01 Inspections,Trailing leads ,2019-12-05,,Safety Notice (Amber) - General Issue,Main Contractor,2019-12-16,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Access,1328,Closed,Safety,11,0
T84104.638,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good safe working practice ,2019-12-05,,Safety Notice (Green) - Good Observation,Temporary Electrics,2019-12-05,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T84104.637,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good exclusion zone ,2019-12-05,,Safety Notice (Green) - Good Observation,Scaffolding,2019-12-05,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T76201.462,Open / Ongoing Works,QC & BC(A)R>ITP 01 Structural>Block 3,Foam to cleaned out.,2019-12-05,2019-12-12,Quality - Snag (aesthetic),Concrete - Formwork,2019-12-05,None,True,True,False,False,Medium,Unassigned,1328,Open,Quality,0,1
T76201.461,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 3,Staircore push pull holes to be grouted and foam to be cleaned and grouted.,2019-12-05,2019-12-12,Quality - Snag (aesthetic),Precast Concrete,2019-12-09,None,False,True,False,False,Standard,Unassigned,1328,Closed,Quality,4,0
T76201.460,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 3>2nd Floor Plan,Holes to be filled.,2019-12-05,2019-12-12,Quality - Snag (aesthetic),Precast Concrete,2020-01-28,None,False,True,True,False,Standard,Unassigned,1328,Closed,Quality,54,0
T76201.459,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan>Precast Walls,Holes to be filled.,2019-12-05,2019-12-12,Quality - Snag (aesthetic),Precast Concrete,2019-12-09,None,False,True,False,False,Standard,Unassigned,1328,Closed,Quality,4,0
T84104.636,Closed,JPC Project Management>EHS Management>01 Inspections,Trailing leads ,2019-12-04,,Safety Notice (Amber) - General Issue,Main Contractor,2019-12-16,FormAnswer,False,True,False,False,Standard,JPC - Safety - Electrical,1328,Closed,Safety,12,0
T84104.635,Closed,JPC Project Management>EHS Management>01 Inspections,Banksman keep access clear,2019-12-04,,Safety Notice (Amber) - General Issue,Concrete - Formwork,2019-12-16,FormAnswer,False,True,False,False,Standard,JPC - Safety - Access,1328,Closed,Safety,12,0
T84104.634,Closed,JPC Project Management>EHS Management>01 Inspections,Access ,2019-12-04,,Safety Notice (Amber) - General Issue,Concrete - Formwork,2019-12-16,FormAnswer,False,True,False,False,Standard,JPC - Safety - Access,1328,Closed,Safety,12,0
T84104.633,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Courtyard,2019-12-04,,Safety Notice (Green) - Good Observation,Labour,2019-12-04,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T84104.632,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Block 4,2019-12-04,,Safety Notice (Green) - Good Observation,Precast Concrete,2019-12-04,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T84104.631,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Reb with mushroom caps,2019-12-04,,Safety Notice (Green) - Good Observation,Precast Concrete,2019-12-04,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T84104.630,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Clearing courtyard,2019-12-04,,Safety Notice (Green) - Good Observation,Main Contractor,2019-12-04,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T84104.629,Closed,JPC Project Management>EHS Management>01 Inspections,Bottles of drink,2019-12-04,,Safety Notice (Amber) - General Issue,Electrical,2019-12-04,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Closed,Safety,0,0
T84104.628,Closed,JPC Project Management>EHS Management>01 Inspections,Trailing leads ,2019-12-04,,Safety Notice (Amber) - General Issue,Main Contractor,2019-12-16,FormAnswer,False,True,False,False,Standard,JPC - Quality - Materials,1328,Closed,Safety,12,0
T84104.627,Closed,JPC Project Management>EHS Management>01 Inspections,PEE not worn by driver,2019-12-04,,Safety Notice (Amber) - General Issue,Precast Concrete,2019-12-16,FormAnswer,False,True,False,False,Standard,JPC - Quality - Management,1328,Closed,Safety,12,0
T84104.626,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good Banksman work taking charge of the area,2019-12-04,,Safety Notice (Green) - Good Observation,Labour,2019-12-04,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T84104.625,Closed,JPC Project Management>EHS Management>01 Inspections,Label cable Live Service,2019-12-04,,Safety Notice (Amber) - General Issue,Temporary Electrics,2019-12-16,FormAnswer,False,True,True,False,Behavioural Failure,JPC - Quality - Management,1328,Closed,Safety,12,0
T84104.624,Closed,JPC Project Management>EHS Management>01 Inspections,Label cable Live Service,2019-12-04,,Safety Notice (Amber) - General Issue,Temporary Electrics,2019-12-16,FormAnswer,False,True,True,False,Behavioural Failure,JPC - Quality - Workmanship,1328,Closed,Safety,12,0
T84104.622,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 1>Foundations,Ground gas barrier (radon barrier) to be repaired with due to damage to membrane ,2019-12-04,2019-12-04,Quality - Snag (aesthetic),Waterproofing,2019-12-06,None,False,True,False,False,High,JPC - Quality - Damage,1328,Closed,Quality,2,0
T84104.620,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 1>Foundations,"Ground gas barrier (radon barrier) to be fixed on to Cory board to the formation level On Grid line 7 PC 10, PC 8 type 1, PC 4 type 2",2019-12-04,2019-12-09,Quality - Works To Complete,Waterproofing,2019-12-06,None,False,True,False,False,Medium,Unassigned,1328,Closed,Quality,2,0
T84104.618,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 1>Foundations,Ground gas barrier (radon barrier) to be fitted around piles and GR Sam to be placed around pile C/O levels on Grid Line J,2019-12-04,2019-12-06,Quality - Works To Complete,Waterproofing,2019-12-06,None,False,True,False,False,Medium,Unassigned,1328,Closed,Quality,2,0
T84104.616,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 1>Foundations,Ground gas barrier (radon barrier) to be fitted around piles and GR Sam to be placed around pile C/O levels,2019-12-04,2019-12-06,Quality - Works To Complete,Waterproofing,2019-12-06,None,False,True,False,False,Medium,Unassigned,1328,Closed,Quality,2,0
T84104.614,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 1>Foundations,Ground gas barrier (radon barrier) to be fixed on to Cory board to the formation level on PC 4 grid line 2,2019-12-04,2019-12-04,Quality - Snag (aesthetic),Waterproofing,2019-12-06,None,False,True,False,False,High,JPC - Quality - Workmanship,1328,Closed,Quality,2,0
T84104.612,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 1>Foundations,Ground gas barrier (radon barrier) to be fixed on to Cory board (PC 3 type 1) grid line H2,2019-12-04,2019-12-04,Quality - Works To Complete,Waterproofing,2019-12-06,None,False,True,False,False,High,Unassigned,1328,Closed,Quality,2,0
T84104.610,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 1>Foundations,Ground gas barrier (radon barrier) to be fixed on to Cory board (PC &PC 2) grid line 3,2019-12-04,2019-12-04,Quality - Works To Complete,Waterproofing,2019-12-06,None,False,True,True,False,High,Unassigned,1328,Closed,Quality,2,0
T84104.609,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 1>Foundations,Ground gas barrier (radon barrier) to be fixed on to Cory board,2019-12-04,2019-11-04,Quality - Works To Complete,Waterproofing,2019-12-06,None,False,False,False,False,High,Unassigned,1328,Closed,Quality,2,0
T84104.607,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 1>Foundations,Vortex to be fitted on pile cap 8 before the shutters can go on ,2019-12-04,2019-12-11,Quality - Works To Complete,Waterproofing,2019-12-06,None,False,True,False,False,High,Unassigned,1328,Closed,Quality,2,0
T84104.605,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 1>Foundations,SR Sam to be fitted sound pile C/O levels,2019-12-04,2019-12-04,Quality - Works To Complete,Waterproofing,2019-12-06,None,False,True,True,False,High,Unassigned,1328,Closed,Quality,2,0
T1.19690811,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 3>2nd Floor Plan>Precast Slabs>Area A3,Ope between stair core 01 wall and slab to be reviewed by flood. ,2019-12-02,2019-12-09,Quality - Works To Complete,Precast Concrete,2020-01-28,None,False,True,False,False,Standard,Unassigned,1328,Closed,Quality,57,0
T1.19690810,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 3>2nd Floor Plan>Precast Walls>Walls Area A3,Push / pulls level 02 opes to be infilled,2019-12-02,2019-12-09,Quality - Works To Complete,Precast Concrete,2020-01-28,None,False,True,False,False,Standard,Unassigned,1328,Closed,Quality,57,0
T1.19690809,Closed,1328 - Townsend St,Gap in scaffolding to large. Risk of tools or person falling,2019-12-02,,Safety Notice (Amber) - General Issue,Scaffolding,2019-12-05,FormAnswer,False,True,False,False,Standard,JPC - Safety - Plant & Equipment,1328,Closed,Safety,3,0
T1.19690808,Closed,1328 - Townsend St,Leading Edge and operative working ,2019-12-02,,Safety Notice (Amber) - General Issue,Main Contractor,2019-12-05,FormAnswer,False,True,False,False,Standard,JPC - Safety - Working At Height,1328,Closed,Safety,3,0
T1.19687655,EHS Good Observation,1328 - Townsend St,Raps have left block 03 level 04 clean and tidy ,2019-12-02,,Safety Notice (Green) - Good Observation,Concrete - Formwork,2019-12-02,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T1.19687554,Closed,1328 - Townsend St,housekeeping. timber cutoff left in designated area. creating a hazard for the crane driver getting to and from his crane.  ,2019-12-02,,Safety Notice (Amber) - General Issue,Main Contractor,2019-12-05,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Closed,Safety,3,0
T1.19686511,EHS Good Observation,1328 - Townsend St,Housekeeping in block 04 is excellent throughout floors. ,2019-12-02,,Safety Notice (Green) - Good Observation,Concrete - Formwork,2019-12-02,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T1.19686309,Closed,1328 - Townsend St,Safe access to block 01 basement is poor. JPC to review logistics. Contractor questioned why they are working in an area which is unsafe to get to. ,2019-12-02,,Safety Notice (Amber) - General Issue,Main Contractor,2019-12-05,FormAnswer,False,True,False,False,Standard,JPC - Safety - Access,1328,Closed,Safety,3,0
T1.19686106,Closed,1328 - Townsend St,Signage on barriers to be removed is no longer relevant.,2019-12-02,,Safety Notice (Amber) - General Issue,Main Contractor,2019-12-05,FormAnswer,False,True,False,False,Standard,JPC - Safety - Lead Management,1328,Closed,Safety,3,0
T1.19686103,Closed,1328 - Townsend St,Housekeeping is very poor on level two. please refer to images. ,2019-12-02,,Safety Notice (Amber) - General Issue,Concrete - Formwork,2019-12-05,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety,3,0
T74906.83,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,Grout run off after wall installation not cleaned up creating a tip hazard. Ground floor stairs entrance into basement ,2019-12-02,2019-12-09,Quality - Snag (aesthetic),Precast Concrete,2020-02-10,None,False,True,False,False,Standard,JPC - Quality - Workmanship,1328,Closed,Quality,70,0
T74906.82,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,Grout on steps of stairs in stair core 1. Grout not cleaned after precast wall installation.,2019-12-02,2019-12-09,Quality - Snag (aesthetic),Precast Concrete,2020-02-10,None,False,True,False,False,Low,JPC - Quality - Workmanship,1328,Closed,Quality,70,0
T84104.604,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 3>3rd Floor Plan>Precast Walls>Walls Area A2,Steel bars to be removed ,2019-12-02,2019-12-09,Quality - Snag (aesthetic),Precast Concrete,2020-01-28,None,False,True,False,False,Medium,Unassigned,1328,Closed,Quality,57,0
T84104.603,Closed,JPC Project Management>EHS Management>01 Inspections,Access,2019-11-29,,Safety Notice (Amber) - General Issue,Main Contractor,2019-12-05,FormAnswer,False,True,False,False,Standard,JPC - Safety - Access,1328,Closed,Safety,6,0
T84104.602,Closed,JPC Project Management>JPC Responsilbility Matrix,No footing of ladder.,2019-11-29,,Safety Notice (Amber) - General Issue,Structural Steel,2019-11-29,FormAnswer,False,True,False,False,Standard,JPC - Safety - Ladders,1328,Closed,Safety,0,0
T84104.601,Closed,JPC Project Management>EHS Management>01 Inspections,Prop stored above toe board.,2019-11-29,,Safety Notice (Amber) - General Issue,Concrete - Formwork,2019-12-05,FormAnswer,False,True,False,False,Standard,JPC - Safety - Storage,1328,Closed,Safety,6,0
T84104.600,Closed,JPC Project Management>EHS Management>01 Inspections,Toe board gap,2019-11-29,,Safety Notice (Amber) - General Issue,Scaffolding,2019-12-05,FormAnswer,False,True,False,False,Standard,JPC - Safety - Working At Height,1328,Closed,Safety,6,0
T84104.599,Closed,JPC Project Management>EHS Management>01 Inspections,Grout left out in rain.,2019-11-29,,Safety Notice (Amber) - General Issue,Precast Concrete,2019-12-05,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Closed,Safety,6,0
T84104.598,Closed,JPC Project Management>EHS Management>01 Inspections,Leaning on handrailing ,2019-11-29,,Safety Notice (Amber) - General Issue,Concrete - Formwork,2019-12-05,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Closed,Safety,6,0
T84104.597,Closed,JPC Project Management>EHS Management>01 Inspections,Housekeeping ,2019-11-29,,Safety Notice (Amber) - General Issue,Concrete - Formwork,2019-12-05,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1328,Closed,Safety,6,0
T84104.596,Closed,JPC Project Management>EHS Management>01 Inspections,Tool tethered. Exclusion zone below. Ear protection.,2019-11-29,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2019-12-05,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1328,Closed,Safety,6,0
T84104.595,Closed,JPC Project Management>EHS Management>01 Inspections,Trailing lead,2019-11-29,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2019-11-29,FormAnswer,False,True,False,False,Standard,JPC - Safety - Lead Management,1328,Closed,Safety,0,0
T84104.594,Closed,JPC Project Management>EHS Management>01 Inspections,Check over due,2019-11-29,,Safety Notice (Amber) - General Issue,Main Contractor,2019-12-05,FormAnswer,False,True,False,False,Standard,JPC - Safety - Documentation,1328,Closed,Safety,6,0
T84104.593,Closed,JPC Project Management>EHS Management>01 Inspections,Wheel lock cable tied.,2019-11-29,,Safety Notice (Amber) - General Issue,Main Contractor,2019-11-29,FormAnswer,False,True,False,False,Standard,JPC - Safety - Plant & Equipment,1328,Closed,Safety,0,0
T84104.592,Closed,JPC Project Management>EHS Management>01 Inspections,Exclusion zone,2019-11-29,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2019-11-29,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1328,Closed,Safety,0,0
T76201.458,Closed,JPC Project Management>Site Management,Small amount of slurry outside external double gates,2019-11-28,,Safety Notice (Amber) - General Issue,Main Contractor,2019-12-05,FormAnswer,False,True,True,False,System Failure,JPC - Safety - Plant & People Interface,1328,Closed,Safety,7,0
T76201.457,Closed JPC Reviewed,JPC Project Management>Site Management,External fence and netting in good order,2019-11-28,,Quality - Good Observation,Main Contractor,2019-12-05,FormAnswer,False,True,False,False,Standard,JPC - Safety - Public Interface / Hoarding,1328,Closed,Quality,7,0
T76201.456,Closed,JPC Project Management>Site Management,Felt over new access area,2019-11-28,,Safety Notice (Amber) - General Issue,Main Contractor,2019-12-05,FormAnswer,False,True,False,False,System Failure,JPC - Safety - Access,1328,Closed,Safety,7,0
T76201.455,EHS Good Observation,JPC Project Management>Site Management,Pile Cap area barriered off,2019-11-28,,Safety Notice (Green) - Good Observation,Groundworks,2019-11-28,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T76201.454,EHS Good Observation,JPC Project Management>Site Management,General area good with just some additional rebar caps and removal of steel from behind access gate,2019-11-28,,Safety Notice (Green) - Good Observation,Concrete - Formwork,2019-11-28,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T76201.453,Closed,Training Area,Good tidy up of block 4 Level 2,2019-11-28,,Safety Notice (Amber) - General Issue,Concrete - Formwork,2019-11-28,FormAnswer,False,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety,0,0
T76201.452,Closed JPC Reviewed,Training Area,Good use of podium ladder,2019-11-28,,Quality - Good Observation,Structural Steel,2019-11-28,FormAnswer,False,True,False,False,Standard,JPC - Safety - Ladders,1328,Closed,Quality,0,0
T76201.451,Closed,Training Area,Material storage to be tidied up Level 3 A1,2019-11-28,,Safety Notice (Amber) - General Issue,Concrete - Formwork,2019-11-28,FormAnswer,False,True,True,False,System Failure,JPC - Safety - Storage,1328,Closed,Safety,0,0
T76201.450,Closed,Training Area,Block 3 Level 2 A3 door Steel trip hazard at top of stair core ,2019-11-28,,Safety Notice (Amber) - General Issue,Precast Concrete,2019-12-05,FormAnswer,False,True,False,False,System Failure,JPC - Safety - Access,1328,Closed,Safety,7,0
T76201.449,Closed,Training Area,Pallet Kilsaran grout still not moved 2nd floor A1,2019-11-28,,Safety Notice (Amber) - General Issue,Precast Concrete,2019-12-05,FormAnswer,False,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety,7,0
T76201.448,Closed,Training Area,Scaffold not built correctly by Mc Kee 1st floor new offices. Scaffold tag says do not use but it is being used,2019-11-28,,Safety Notice (Amber) - General Issue,Carpentry,2019-12-05,FormAnswer,False,True,False,False,System Failure,JPC - Safety - Scaffolding,1328,Closed,Safety,7,0
T76201.447,EHS Good Observation,Training Area,"Good safety station, stocked up , fire point",2019-11-28,,Safety Notice (Green) - Good Observation,Main Contractor,2019-11-28,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T76201.446,EHS Good Observation,Training Area,Good storage and tidying up as materials enter site byLogistics team,2019-11-28,,Safety Notice (Green) - Good Observation,Main Contractor,2019-11-28,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T76201.445,Closed JPC Reviewed,Training Area,Good exclusion and diversion of main access to upper floors,2019-11-28,,Quality - Good Observation,Carpentry,2019-11-28,FormAnswer,False,True,True,False,Standard,JPC - Safety - Exclusion Zones,1328,Closed,Quality,0,0
T76201.444,EHS Good Observation,Training Area,Good works by RAPS clearing out block 3 ground,2019-11-28,,Safety Notice (Green) - Good Observation,Concrete - Formwork,2019-11-28,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T76201.443,Closed,Training Area,"Block ties, block cut offs",2019-11-28,,Safety Notice (Amber) - General Issue,Main Contractor,2019-11-28,FormAnswer,False,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety,0,0
T76201.442,EHS Good Observation,Training Area,Fire extinguisher & permit in place Select Roofing,2019-11-28,,Safety Notice (Green) - Good Observation,Main Contractor,2019-11-28,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T76201.441,Closed,Training Area,No stop blocks at Flood lorry,2019-11-28,,Safety Notice (Amber) - General Issue,Precast Concrete,2019-12-05,FormAnswer,False,True,False,False,System Failure,JPC - Safety - Plant & Equipment,1328,Closed,Safety,7,0
T76201.440,Closed JPC Reviewed,Training Area,Good storage from original area during week,2019-11-28,,Quality - Good Observation,Main Contractor,2019-11-28,FormAnswer,False,True,True,False,Standard,JPC - Safety - Storage,1328,Closed,Quality,0,0
T76201.439,EHS Good Observation,Training Area,No exclusion zone ( Tim ordering new fences),2019-11-28,,Safety Notice (Green) - Good Observation,Ceilings & Partitions,2019-11-28,FormAnswer,False,True,True,False,Standard,Unassigned,1328,Closed,Safety,0,0
T90896.89,Closed,JPC Project Management>EHS Management>01 Inspections,Errigal need to adopt clean as you go approach on site and not leave off cuts swept into corners on site,2019-11-27,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2019-12-02,FormAnswer,False,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety,5,0
T90896.88,Closed,JPC Project Management>EHS Management>01 Inspections,Work at height to be constantly monitored and policed by precast contractor supervisor. Ladders and leading edges have major fall hazards and workers need to be disciplined re W@H during all precast operations.,2019-11-27,,Safety Notice (Amber) - General Issue,Precast Concrete,2019-12-02,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Working At Height,1328,Closed,Safety,5,0
T90896.87,Closed,JPC Project Management>EHS Management>01 Inspections,"Lack of designated exclusion zone by groundworks contractor, access in the area could be improved also. Lastly, some task specific PPE is advised for these works ie Anti vibration gloves, Heavy duty ear protectors and filtered dust masks. Insulated shovels should also be a best practice.",2019-11-27,,Safety Notice (Amber) - General Issue,Groundworks,2019-12-02,FormAnswer,False,True,False,False,System Failure,JPC - Safety - Excavations,1328,Closed,Safety,5,0
T90896.86,Closed,JPC Project Management>EHS Management>01 Inspections,Some isolated items on site that require attention. Any excess material or waste to be removed off site.,2019-11-27,,Safety Notice (Amber) - General Issue,Precast Concrete,2019-12-02,FormAnswer,False,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety,5,0
T90896.85,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,High standard of general housekeeping by concrete formwork subcontractor throughout site,2019-11-27,,Safety Notice (Green) - Good Observation,Concrete - Formwork,2019-11-27,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T90896.84,Closed,JPC Project Management>EHS Management>01 Inspections,Access to TC2 to be improved,2019-11-27,,Safety Notice (Amber) - General Issue,Main Contractor,2019-12-02,FormAnswer,False,True,False,False,System Failure,JPC - Safety - Access,1328,Closed,Safety,5,0
T90896.83,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Excellent storage and housekeeping best practice in concrete formwork stores. W@H equipment being stored correctly overnight.,2019-11-27,,Safety Notice (Green) - Good Observation,Concrete - Formwork,2019-11-27,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T90896.82,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Exclusion Zone in place for lifting operations with precast panels. Task specific signage to be kept updated as a best practice.,2019-11-27,,Safety Notice (Green) - Good Observation,Precast Concrete,2019-11-27,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T90896.81,Closed,JPC Project Management>EHS Management>01 Inspections,Uneven surface in main thoroughfare causing trip hazard,2019-11-27,,Safety Notice (Amber) - General Issue,Main Contractor,2019-12-02,FormAnswer,False,True,False,False,System Failure,JPC - Safety - Access,1328,Closed,Safety,5,0
T74906.81,Closed,JPC Project Management>Site Management,Material storage,2019-11-27,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,2020-03-04,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Quality - Materials,1328,Closed,Safety,98,0
T90896.80,Closed,JPC Project Management>EHS Management>01 Inspections,"White slings are one time use only. Offload steel delivery and skip slings. From the discolour of this steel, this may have been lifted multiple times to move it on site",2019-11-27,,Safety Notice (Amber) - General Issue,Concrete - Formwork,2019-12-02,FormAnswer,False,True,False,False,System Failure,JPC - Safety - Lifting / Slinging,1328,Closed,Safety,5,0
T74906.80,EHS Good Observation,JPC Project Management>Site Management,Good lock up of ladders,2019-11-27,,Safety Notice (Green) - Good Observation,Concrete - Formwork,2019-11-27,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T74906.79,EHS Good Observation,JPC Project Management>Site Management,Good housekeeping in ground floor,2019-11-27,,Safety Notice (Green) - Good Observation,Concrete - Formwork,2019-11-27,FormAnswer,False,True,False,False,Standard,Unassigned,1328,Closed,Safety,0,0
T74906.78,Closed,JPC Project Management>Site Management,Safety station on ground floor to be moved because area closed with barriers,2019-11-27,,Safety Notice (Amber) - General Issue,Main Contractor,2019-11-27,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Access,1328,Closed,Safety,0,0
T74906.77,Closed,JPC Project Management>Site Management,Gate 2 holding water,2019-11-27,,Safety Notice (Amber) - General Issue,Main Contractor,2020-03-04,FormAnswer,False,True,False,False,System Failure,JPC - Safety - Access,1328,Closed,Safety,98,0
T74906.76,Closed,JPC Project Management>Site Management,Use of fibre glass shovel called up on high risk workshop,2019-11-27,,Safety Notice (Amber) - General Issue,Groundworks,2020-03-04,FormAnswer,False,True,False,False,Standard,JPC - Safety - Excavations,1328,Closed,Safety,98,0
T74906.75,Closed,JPC Project Management>Site Management,"Compliance with PPE and permits.
Works stopped this morning.
No fire extinguisher in area of hot works
No hearing protection on when using breaker
No safety catch on compressor 
Dust suppression needs to be consistent ",2019-11-27,,Safety Notice (Amber) - General Issue,Groundworks,2020-03-04,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Quality - Materials,1328,Closed,Safety,98,0
T90896.79,JPC Sign Off / Closed,QC & BC(A)R>ITP 01 Structural>Block 3>3rd Floor Plan>Precast Walls,push pull holes to be filled.,2019-11-26,2019-12-03,Quality - Snag (aesthetic),Precast Concrete,2020-01-28,None,False,True,False,False,Low,Unassigned,1328,Closed,Quality,63,0
T90896.78,Closed,JPC Project Management>EHS Management>03 Safety Notices,exclusion zone is not in place,2019-11-25,,Safety Notice (Red) - Serious Issue,Precast Concrete,2019-11-26,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1328,Closed,Safety,1,0
T90896.77,Closed,JPC Project Management>EHS Management>03 Safety Notices,litter on site,2019-11-25,,Safety Notice (Amber) - General Issue,Main Contractor,2019-11-26,FormAnswer,False,True,False,False,Standard,JPC - Quality - Materials,1328,Closed,Safety,1,0
T90896.76,Closed,JPC Project Management>EHS Management>03 Safety Notices,prop to be removed from access way,2019-11-25,,Safety Notice (Amber) - General Issue,Precast Concrete,2019-11-26,FormAnswer,False,True,False,False,Standard,JPC - Safety - Access,1328,Closed,Safety,1,0
T90896.75,Closed,JPC Project Management>EHS Management>03 Safety Notices,build up of unused material,2019-11-25,,Safety Notice (Amber) - General Issue,Main Contractor,2019-11-26,FormAnswer,False,True,False,False,Standard,JPC - Safety - Electrical,1328,Closed,Safety,1,0
T90896.74,Closed,JPC Project Management>EHS Management>03 Safety Notices,trailing lead from loose splitter in courtyard to upper floors,2019-11-25,,Safety Notice (Amber) - General Issue,Temporary Electrics,2019-11-26,FormAnswer,False,True,False,False,Standard,JPC - Safety - Electrical,1328,Closed,Safety,1,0
T90896.73,Closed,JPC Project Management>EHS Management>03 Safety Notices,wheel stops required to prevent lorry reversing to far,2019-11-25,,Safety Notice (Amber) - General Issue,Main Contractor,2019-11-26,FormAnswer,False,True,False,False,Standard,JPC - Safety - Plant & Equipment,1328,Closed,Safety,1,0
